Metric,Kalshi Weighted,CME FedWatch,Winner
Brier Score,0.7586967778819139,0.7653946385717075,Kalshi
Log Score,2.2358116128163332,2.31265121559566,Kalshi
MAE,0.8677189201053556,0.8712642431957859,Kalshi
Sharpness,0.0759323097162886,0.07936489906175324,CME
Final Forecast,0.015,0.011071,N/A
