Decision,Mean Divergence,Mean Abs Divergence,Max Abs Divergence,Std Divergence,RMSE
Fed maintains rate,0.030926465364120807,0.03366358792184727,0.1352,0.030755761466859426,0.04360645657539911
Cut 25bps,0.04496722912966252,0.04589440497335701,0.22309999999999997,0.030782584408935366,0.054486490658679804
